"","State_Name","FIPS_Code","Population","Bedroom_size","Average_Rent_State_17","Average_Rent_State_18","Average_Rent_State_19","Average_Rent_State_20","Average_Rent_State_21"
"1","Alabama",1,4864680,"Overall",835,852,890,917,996
"2","Alabama",1,4864680,"Studio",639,652,681,702,763
"3","Alabama",1,4864680,"1br",649,662,692,713,774
"4","Alabama",1,4864680,"2br",797,813,849,876,951
"5","Alabama",1,4864680,"3br",968,988,1032,1063,1155
"6","Alabama",1,4864680,"4br",1158,1182,1234,1272,1382
"7","Alaska",2,738516,"Overall",1221,1234,1241,1284,1355
"8","Alaska",2,738516,"Studio",809,818,823,851,898
"9","Alaska",2,738516,"1br",912,921,926,959,1012
"10","Alaska",2,738516,"2br",1215,1228,1235,1278,1348
"11","Alaska",2,738516,"3br",1667,1685,1695,1754,1850
"12","Alaska",2,738516,"4br",2047,2068,2081,2153,2272
"13","Arizona",4,6946685,"Overall",1019,1077,1161,1215,1403
"14","Arizona",4,6946685,"Studio",734,776,836,875,1011
"15","Arizona",4,6946685,"1br",790,834,900,941,1088
"16","Arizona",4,6946685,"2br",971,1026,1106,1157,1337
"17","Arizona",4,6946685,"3br",1231,1301,1402,1467,1696
"18","Arizona",4,6946685,"4br",1446,1528,1647,1724,1992
"19","Arkansas",5,2990671,"Overall",760,754,773,789,839
"20","Arkansas",5,2990671,"Studio",550,546,560,571,608
"21","Arkansas",5,2990671,"1br",577,573,587,600,637
"22","Arkansas",5,2990671,"2br",734,728,746,762,810
"23","Arkansas",5,2990671,"3br",903,897,919,939,997
"24","Arkansas",5,2990671,"4br",1083,1074,1101,1125,1195
"25","California",6,39148760,"Overall",1725,1777,1818,1790,1849
"26","California",6,39148760,"Studio",1276,1314,1345,1324,1368
"27","California",6,39148760,"1br",1442,1486,1521,1497,1546
"28","California",6,39148760,"2br",1753,1805,1848,1818,1879
"29","California",6,39148760,"3br",2063,2125,2175,2140,2211
"30","California",6,39148760,"4br",2446,2519,2578,2537,2621
"31","Colorado",8,5531141,"Overall",1335,1376,1415,1410,1515
"32","Colorado",8,5531141,"Studio",1005,1036,1065,1061,1140
"33","Colorado",8,5531141,"1br",1114,1148,1181,1176,1264
"34","Colorado",8,5531141,"2br",1322,1362,1401,1395,1500
"35","Colorado",8,5531141,"3br",1588,1636,1682,1676,1801
"36","Colorado",8,5531141,"4br",1909,1967,2023,2015,2166
"37","Connecticut",9,3581504,"Overall",1256,1291,1320,1331,1445
"38","Connecticut",9,3581504,"Studio",853,877,896,904,981
"39","Connecticut",9,3581504,"1br",1033,1061,1085,1093,1187
"40","Connecticut",9,3581504,"2br",1311,1347,1377,1388,1507
"41","Connecticut",9,3581504,"3br",1508,1549,1584,1597,1734
"42","Connecticut",9,3581504,"4br",1855,1906,1949,1965,2133
"43","Delaware",10,949495,"Overall",1177,1226,1280,1347,1524
"44","Delaware",10,949495,"Studio",900,937,979,1030,1166
"45","Delaware",10,949495,"1br",939,978,1022,1075,1216
"46","Delaware",10,949495,"2br",1160,1208,1262,1328,1502
"47","Delaware",10,949495,"3br",1380,1438,1501,1580,1788
"48","Delaware",10,949495,"4br",1548,1612,1683,1772,2004
"49","District of Columbia",11,684498,"Overall",1846,1859,1890,1810,1756
"50","District of Columbia",11,684498,"Studio",1838,1851,1883,1803,1748
"51","District of Columbia",11,684498,"1br",1781,1793,1824,1747,1694
"52","District of Columbia",11,684498,"2br",1801,1814,1845,1767,1713
"53","District of Columbia",11,684498,"3br",2151,2166,2203,2110,2046
"54","District of Columbia",11,684498,"4br",2912,2932,2982,2857,2770
"55","Florida",12,20598139,"Overall",1251,1301,1335,1337,1506
"56","Florida",12,20598139,"Studio",952,991,1016,1018,1147
"57","Florida",12,20598139,"1br",1026,1067,1095,1097,1236
"58","Florida",12,20598139,"2br",1234,1284,1317,1319,1487
"59","Florida",12,20598139,"3br",1445,1503,1542,1545,1740
"60","Florida",12,20598139,"4br",1779,1850,1898,1902,2142
"61","Georgia",13,10297484,"Overall",1014,1048,1080,1093,1226
