"","Area_Name","Borough","Area_Type","Year_2016_All","Year_2017_All","Year_2018_All","Year_2019_All","Year_2020_All","Year_2021_All","Year_2016_Studio","Year_2017_Studio","Year_2018_Studio","Year_2019_Studio","Year_2020_Studio","Year_2021_Studio","Year_2016_OneBdr","Year_2017_OneBdr","Year_2018_OneBdr","Year_2019_OneBdr","Year_2020_OneBdr","Year_2021_OneBdr","Year_2016_TwoBdr","Year_2017_TwoBdr","Year_2018_TwoBdr","Year_2019_TwoBdr","Year_2020_TwoBdr","Year_2021_TwoBdr","Year_2016_ThreeBdrs","Year_2017_ThreeBdrs","Year_2018_ThreeBdrs","Year_2019_ThreeBdrs","Year_2020_ThreeBdrs","Year_2021_ThreeBdrs"
"1","All Downtown","Manhattan","submarket",3765,3689,3779,3956,3561,3583,2795,2738,2779,2925,2605,2626,3590,3508,3564,3804,3428,3519,4771,4527,4497,4727,4270,4114,7115,6478,6464,7224,6275,5873
"2","All Midtown","Manhattan","submarket",3516,3471,3474,3637,3249,3313,2613,2569,2559,2678,2404,2378,3509,3462,3456,3611,3221,3342,5013,4883,4730,4953,4377,4793,6432,6339,6006,6165,5393,5969
"3","All Upper East Side","Manhattan","submarket",2979,2960,2912,3057,2881,2570,2123,2088,2094,2156,2042,1896,2831,2811,2799,2920,2770,2522,3808,3858,3679,4015,3816,3325,8553,8146,7924,8632,8227,7044
"4","All Upper Manhattan","Manhattan","submarket",2363,2335,2343,2408,2351,2250,1645,1685,1730,1765,1746,1692,1927,1955,1967,2026,2013,1925,2408,2422,2440,2504,2438,2360,3161,3129,3138,3193,3045,2902
"5","All Upper West Side","Manhattan","submarket",3450,3348,3334,3482,3171,3092,2328,2289,2276,2349,2149,2114,3191,3101,3096,3287,2985,2916,4726,4507,4586,4535,4351,4534,8272,7616,7093,7229,6914,6517
"6","Astoria","Queens","neighborhood",2289,2228,2178,2279,2191,2045,1742,1719,1737,1704,1647,1617,1968,1906,1890,1962,1930,1819,2372,2317,2295,2351,2296,2177,3002,2950,2867,2925,2865,2782
"7","Auburndale","Queens","neighborhood",1820,2044,2122,2009,1836,2001,0,0,0,0,0,0,0,0,148,0,133,0,154,0,0,171,0,0,0,427,221,0,0,0
"8","Bath Beach","Brooklyn","neighborhood",2041,1943,1825,1743,1689,1738,0,0,0,0,0,0,0,360,1154,1614,945,1612,0,931,1712,1558,317,1852,2342,1773,1954,1016,217,1735
"9","Battery Park City","Manhattan","neighborhood",4533,4224,4496,4800,4158,4090,3057,2937,3075,3198,2894,3119,3656,3563,3690,3961,3567,3692,6600,6845,6553,6842,6699,6592,11418,11420,12238,11495,9292,8782
"10","Bay Ridge","Brooklyn","neighborhood",2038,1941,1958,1944,1947,1767,1038,1443,1496,1514,1505,1431,1652,1640,1685,1699,1720,1670,2204,2156,2131,2207,2201,2143,2633,2541,2537,2619,2534,2572
"11","Baychester","Bronx","neighborhood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Bayside","Queens","neighborhood",2367,2417,2356,2121,2022,2044,0,0,0,0,138,0,779,640,565,1872,1870,1870,917,1760,1125,2176,2025,1361,2759,2736,2628,2188,680,1321
"13","Bedford Park","Bronx","neighborhood",1455,1522,1559,1696,1269,1704,430,0,0,0,0,0,1454,1123,0,1071,559,0,583,0,0,156,0,0,0,0,0,0,0,0
