areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
All Downtown,Manhattan,submarket,6700.000,6500.000,6500.000,6798.000,6798.000,6000.000,6000.000,6000.000,8398.000,8000.000,7950.000,7300.000,7500.000,7900.000,7500.000,6750.000,6750.000,7100.000,6725.000,7000.000,8000.000,9000.000,9000.000,8500.000,8500.000,7500.000,6991.000,6895.000,6725.000,6695.000,5850.000,6200.000,6900.000,6995.000,6695.000,6995.000,6500.000,6775.000,7000.000,6500.000,6300.000,5995.000,5500.000,5500.000,5650.000,6000.000,6473.000,6495.000,6473.000,6900.000,6973.000,6400.000,6153.000,6500.000,6000.000,6200.000,6225.000,6400.000,6000.000,6000.000,6300.000,6750.000,6995.000,6450.000,6300.000,6150.000,5802.000,6098.000,7000.000,7931.000,7650.000,7085.000,7500.000,7500.000,7500.000,6995.000,6795.000,6795.000,6500.000,6498.000,7200.000,7100.000,7500.000,7495.000,6998.000,6900.000,6500.000,6174.000,6265.000,6000.000,5950.000,5995.000,6200.000,6750.000,7000.000,7000.000,7346.000,7200.000,6888.000,6200.000,6325.000,5995.000,5900.000,6000.000,6000.000,6174.000,6795.000,6750.000,7494.000,6995.000,7048.000,6450.000,6425.000,6300.000,6300.000,6500.000,7000.000,7800.000,8625.000,9750.000,9465.000,8769.000,7890.000,6525.000,6000.000,5785.000,5500.000,5250.000,5100.000,5000.000,5000.000,5019.000,5078.000,5200.000,5195.000,5497.000,6000.000,6195.000,6000.000,6500.000,6567.000,6500.000
All Midtown,Manhattan,submarket,7500.000,7900.000,6775.000,5795.000,6250.000,6500.000,7500.000,7500.000,7500.000,7650.000,7795.000,7850.000,7800.000,8000.000,7900.000,7295.000,7050.000,8500.000,8500.000,7850.000,8873.000,8000.000,7000.000,7250.000,8150.000,8498.000,8375.000,7500.000,8998.000,8900.000,7500.000,7050.000,7400.000,7000.000,7200.000,7100.000,6195.000,6729.000,6500.000,6750.000,6600.000,7000.000,6895.000,6200.000,6025.000,6375.000,6775.000,6898.000,6350.000,6995.000,6890.000,6500.000,6500.000,6468.000,6300.000,6500.000,6950.000,6500.000,6750.000,6520.000,6595.000,6500.000,6406.000,6450.000,6295.000,5875.000,5995.000,5915.000,6200.000,6450.000,6625.000,6898.000,6700.000,6705.000,6650.000,6495.000,6395.000,6600.000,6150.000,6000.000,6000.000,6350.000,6500.000,6633.000,6900.000,6900.000,6900.000,6500.000,6277.000,6200.000,6000.000,5995.000,6300.000,5795.000,6000.000,6300.000,6298.000,6298.000,6322.000,6170.000,5925.000,5785.000,5760.000,5793.000,5950.000,5871.000,5906.000,6000.000,6115.000,6395.000,5695.000,6095.000,5885.000,5895.000,6000.000,5978.000,6250.000,6500.000,6400.000,6775.000,6623.000,6925.000,6785.000,5995.000,5398.000,5255.000,5000.000,4650.000,4595.000,4500.000,4495.000,4495.000,4550.000,4895.000,4950.000,5500.000,5595.000,6000.000,6400.000,7000.000,7313.000,7488.000
All Upper East Side,Manhattan,submarket,8925.000,8950.000,9850.000,8300.000,8050.000,7725.000,7500.000,7100.000,7648.000,7825.000,8500.000,7500.000,7663.000,8990.000,9500.000,9500.000,8950.000,8500.000,8550.000,8925.000,10000.000,9500.000,9500.000,9575.000,11000.000,9650.000,10995.000,10498.000,9650.000,9100.000,8995.000,8995.000,10600.000,9995.000,9575.000,10150.000,9950.000,9950.000,9995.000,9925.000,9950.000,9995.000,8500.000,8000.000,8875.000,8775.000,8995.000,8750.000,8500.000,8200.000,9000.000,8050.000,9500.000,8495.000,8750.000,8060.000,8160.000,8500.000,9750.000,10000.000,10325.000,9800.000,8500.000,8450.000,7500.000,7500.000,7373.000,7600.000,7200.000,7500.000,7998.000,8238.000,8350.000,8835.000,8500.000,8925.000,8800.000,8548.000,8000.000,8175.000,8985.000,8515.000,8500.000,8500.000,8900.000,9429.000,8948.000,9050.000,7976.000,7500.000,7473.000,7225.000,8000.000,7938.000,7512.000,7800.000,7550.000,8500.000,7998.000,8500.000,7909.000,7350.000,6800.000,6995.000,7995.000,8000.000,8495.000,8995.000,8850.000,8750.000,8900.000,8333.000,8545.000,8000.000,7000.000,7800.000,8900.000,9200.000,9500.000,9800.000,9500.000,11500.000,12529.000,10000.000,8000.000,7200.000,7000.000,6500.000,6500.000,6500.000,6698.000,6795.000,6500.000,6000.000,6000.000,6750.000,6000.000,6500.000,6895.000,7448.000,8848.000,9500.000
All Upper Manhattan,Manhattan,submarket,2700.000,2673.000,2600.000,2795.000,2800.000,2600.000,2600.000,2700.000,2700.000,2600.000,2400.000,2400.000,2400.000,2500.000,2595.000,2750.000,2799.000,2800.000,3100.000,2845.000,3000.000,3000.000,2850.000,2875.000,2997.000,2900.000,2995.000,3195.000,3000.000,2800.000,2850.000,2800.000,2850.000,2900.000,2925.000,2850.000,2800.000,2850.000,2900.000,2800.000,2900.000,2950.000,3000.000,3100.000,3000.000,3000.000,3000.000,2950.000,3000.000,2900.000,2800.000,3000.000,3000.000,2985.000,3000.000,3000.000,3000.000,3000.000,2995.000,2950.000,2927.000,2950.000,2900.000,2995.000,3000.000,3100.000,3198.000,3200.000,3211.000,3200.000,3000.000,3000.000,3000.000,3000.000,3150.000,3193.000,3200.000,3200.000,3200.000,3200.000,3207.000,3300.000,3200.000,3082.000,3100.000,3000.000,3020.000,3162.000,3250.000,3250.000,3295.000,3200.000,3200.000,3075.000,2999.000,2997.000,2996.000,3000.000,3099.000,3195.000,3250.000,3295.000,3295.000,3300.000,3208.000,3025.000,3000.000,2999.000,3000.000,3000.000,3025.000,3195.000,3255.000,3300.000,3300.000,3300.000,3300.000,3254.000,3193.000,3195.000,3195.000,3200.000,3250.000,3300.000,3200.000,3190.000,3095.000,2975.000,2850.000,2795.000,2750.000,2743.000,2750.000,2795.000,2795.000,2800.000,2895.000,2995.000,3025.000,2995.000,2979.000,2995.000
All Upper West Side,Manhattan,submarket,7000.000,7000.000,7000.000,7950.000,8998.000,8500.000,7250.000,7550.000,8000.000,8495.000,9000.000,8000.000,8500.000,8950.000,9000.000,8900.000,8495.000,8125.000,7950.000,8000.000,8425.000,8500.000,8950.000,8500.000,9000.000,8995.000,9500.000,9900.000,9000.000,9500.000,8900.000,8472.000,8500.000,8998.000,8995.000,9000.000,8500.000,8600.000,9200.000,8900.000,8500.000,8500.000,8000.000,7763.000,9285.000,9000.000,8500.000,8425.000,8100.000,8995.000,8650.000,9200.000,9000.000,9000.000,8750.000,8750.000,8450.000,8495.000,8900.000,8900.000,9413.000,9000.000,9500.000,9416.000,8670.000,8055.000,8500.000,8455.000,8995.000,9000.000,8973.000,9500.000,8995.000,9148.000,8500.000,8775.000,8300.000,7995.000,8000.000,7750.000,8048.000,7672.000,7880.000,8200.000,8500.000,8750.000,8525.000,8500.000,7500.000,7475.000,6995.000,6750.000,6950.000,6995.000,7000.000,7448.000,7242.000,7175.000,6995.000,7000.000,7000.000,6963.000,6000.000,6800.000,7000.000,7000.000,7950.000,7995.000,8095.000,7682.000,6962.000,6843.000,7095.000,6873.000,6495.000,6454.000,6500.000,7307.000,7950.000,8488.000,8769.000,8500.000,8037.000,7266.000,6925.000,6500.000,6535.000,6000.000,5995.000,6000.000,6240.000,6200.000,6500.000,6850.000,6500.000,6350.000,6182.000,6000.000,5995.000,6000.000,6500.000,8295.000
Astoria,Queens,neighborhood,2000.000,2150.000,2100.000,2050.000,2000.000,2150.000,,,,,,,,,,,2250.000,2300.000,,,,,2450.000,2500.000,2500.000,3000.000,2850.000,2975.000,2500.000,3300.000,3275.000,3275.000,,2650.000,2500.000,2700.000,2500.000,2599.000,2700.000,3000.000,2850.000,2800.000,2650.000,2750.000,2900.000,3000.000,3000.000,2800.000,2800.000,2800.000,2800.000,2850.000,2900.000,2875.000,2950.000,3000.000,3000.000,2995.000,2800.000,2800.000,2900.000,2900.000,3000.000,3000.000,2900.000,2850.000,2800.000,2995.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3100.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,2950.000,3000.000,2975.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,2900.000,2900.000,2900.000,2900.000,2900.000,2900.000,2800.000,2850.000,2850.000,2819.000,2895.000,2945.000,2950.000,2999.000,2900.000,2800.000,2700.000,2895.000,2900.000,2900.000,2950.000,2995.000,3000.000,2900.000,2900.000,2900.000,2900.000,2850.000,2900.000,3000.000,2999.000,2950.000,2985.000,3000.000,3000.000,2900.000,2900.000,2900.000,2800.000,2700.000,2650.000,2600.000,2600.000,2660.000,2680.000,2700.000,2750.000,2800.000,2875.000,3000.000,2900.000,2850.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449.000,,,2673.000,,,,,,,,,,,,,2650.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.000,,,,,,2100.000,2150.000,2150.000,2400.000,2400.000,2300.000,2300.000,2300.000,2200.000,2300.000,2300.000,2300.000,2375.000,2350.000,2575.000,2550.000,2300.000,2300.000,2399.000,2400.000,2350.000,2350.000,,2323.000,2299.000,,,2447.000,2300.000,2200.000,2150.000,2250.000,2300.000,,2475.000,2500.000,2500.000,2325.000,,2540.000,,,2400.000,2400.000,,2450.000,,,2400.000,,,,,,,,,,,,,,2600.000,,2300.000,,2525.000,2375.000,2450.000,2500.000,2500.000,,2700.000
Battery Park City,Manhattan,neighborhood,7895.000,8700.000,8500.000,9500.000,10000.000,10000.000,12000.000,11700.000,10000.000,10000.000,10000.000,10000.000,10975.000,9095.000,11950.000,12225.000,12500.000,11000.000,11950.000,11950.000,10450.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10500.000,10250.000,9700.000,9625.000,9995.000,10000.000,10000.000,9995.000,10000.000,10000.000,10000.000,10000.000,10000.000,10750.000,11500.000,10800.000,11200.000,10045.000,10000.000,10500.000,9923.000,11000.000,10000.000,9800.000,10750.000,11000.000,11000.000,11375.000,12500.000,12500.000,12500.000,12500.000,12750.000,11875.000,10800.000,13500.000,12500.000,12500.000,13500.000,13500.000,12500.000,11500.000,12250.000,11950.000,11950.000,11725.000,11000.000,11791.000,11900.000,12000.000,11900.000,11650.000,11750.000,10500.000,10500.000,10800.000,11500.000,11600.000,11700.000,11000.000,11000.000,10450.000,11000.000,11318.000,12068.000,11635.000,11875.000,10900.000,12500.000,10900.000,12500.000,12900.000,12900.000,12500.000,12700.000,12700.000,12500.000,12000.000,12000.000,12000.000,11250.000,12125.000,13813.000,12950.000,12000.000,11875.000,11300.000,10600.000,10550.000,9975.000,10900.000,10950.000,10900.000,,12500.000,12500.000,,10300.000,10500.000,10925.000,10950.000,10950.000,10950.000,10975.000,10950.000,10500.000,12000.000,10550.000,11096.000,10000.000,12000.000,11000.000,10675.000,,
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,1900.000,,,,,,,,,,,,,,,,,,,,,,,2598.000,,,,2723.000,2300.000,2500.000,2500.000,2400.000,2400.000,2300.000,2495.000,2400.000,2600.000,2638.000,2735.000,2600.000,2625.000,2798.000,2600.000,2525.000,2500.000,2500.000,2600.000,2550.000,2500.000,2600.000,2500.000,2600.000,3048.000,2900.000,2600.000,2695.000,2673.000,2550.000,2500.000,2795.000,2698.000,2600.000,2600.000,2600.000,2700.000,2650.000,2700.000,2600.000,2600.000,2500.000,2499.000,2400.000,2400.000,2500.000,2600.000,2600.000,2599.000,2595.000,2595.000,2599.000,2600.000,2573.000,2500.000,2500.000,2550.000,2500.000,2525.000,2500.000,2500.000,2500.000,2595.000,2600.000,2600.000,2600.000,2538.000,2600.000,2600.000,2700.000,2690.000,2699.000,2600.000,2600.000,2598.000,2600.000,2600.000,2575.000,2500.000,2500.000,2625.000,2550.000,2500.000,2600.000,2510.000,2500.000,2500.000,2500.000,2548.000,2600.000,2550.000,2625.000,2500.000,2595.000,2600.000,2650.000,2500.000,2500.000,2595.000
