"","Rental_ID","Rent_Price","No_Bedrooms","No_Bathrooms","Neighborhood","SubMarket","Borough"
"1",1545,2550,0,1,"Upper East Side","All Upper East Side","Manhattan"
"2",2472,11500,2,2,"Greenwich Village","All Downtown","Manhattan"
"3",10234,3000,3,1,"Astoria","Northwest Queens","Queens"
"4",2919,4500,1,1,"Midtown","All Midtown","Manhattan"
"5",2790,4795,1,1,"Greenwich Village","All Downtown","Manhattan"
"6",2869,3600,3,2,"Williamsburg","North Brooklyn","Brooklyn"
"7",10524,1950,1,1,"Forest Hills","Central Queens","Queens"
"8",3946,17500,2,2,"Soho","All Downtown","Manhattan"
"9",5465,3500,1,1,"Astoria","Northwest Queens","Queens"
"10",10817,3800,3,2,"Central Harlem","All Upper Manhattan","Manhattan"
"11",4318,3900,3,2,"Greenwood","South Brooklyn","Brooklyn"
"12",9077,1995,0,0,"Midtown East","All Midtown","Manhattan"
"13",5150,2995,0,1,"Battery Park City","All Downtown","Manhattan"
"14",6265,2700,2,1,"Gowanus","Northwest Brooklyn","Brooklyn"
"15",9507,15000,2,2,"Flatiron","All Downtown","Manhattan"
"16",1437,4650,1,1,"Upper East Side","All Upper East Side","Manhattan"
"17",404,2950,1,1,"Upper East Side","All Upper East Side","Manhattan"
"18",24,4900,1,1,"Brooklyn Heights","Northwest Brooklyn","Brooklyn"
"19",8293,6920,3,2,"Midtown East","All Midtown","Manhattan"
"20",6594,4875,1,1,"East Village","All Downtown","Manhattan"
"21",2964,4850,1,1,"Midtown West","All Midtown","Manhattan"
"22",5259,1725,1,1,"Astoria","Northwest Queens","Queens"
"23",5405,3700,1,1,"Upper East Side","All Upper East Side","Manhattan"
"24",9481,3900,0,1,"Williamsburg","North Brooklyn","Brooklyn"
"25",5635,4200,2,1,"Upper West Side","All Upper West Side","Manhattan"
"26",9736,1700,1,1,"Briarwood","Northeast Queens","Queens"
"27",3833,2550,2,1,"Forest Hills","Central Queens","Queens"
"28",5832,2195,1,1,"Lower East Side","All Downtown","Manhattan"
"29",7050,4200,1,1,"Tribeca","All Downtown","Manhattan"
"30",476,9000,2,2,"Midtown East","All Midtown","Manhattan"
"31",3491,4950,1,1,"Midtown","All Midtown","Manhattan"
"32",2172,3000,0.5,1,"Upper East Side","All Upper East Side","Manhattan"
"33",2443,2450,1,1,"Central Harlem","All Upper Manhattan","Manhattan"
"34",849,2750,1,1,"Clinton Hill","Northwest Brooklyn","Brooklyn"
"35",11328,1950,0,1,"Gramercy Park","All Downtown","Manhattan"
"36",4315,2550,2,1,"Rego Park","Central Queens","Queens"
"37",6142,3375,1,1,"Upper West Side","All Upper West Side","Manhattan"
"38",6216,2395,2.5,1,"East Harlem","All Upper Manhattan","Manhattan"
"39",6029,2700,2,1,"Williamsburg","North Brooklyn","Brooklyn"
"40",3686,4905,2,2,"Williamsburg","North Brooklyn","Brooklyn"
"41",7616,2000,1,1,"Williamsburg","North Brooklyn","Brooklyn"
"42",9535,4990,1,1,"Midtown East","All Midtown","Manhattan"
"43",4678,7495,2,2,"Upper West Side","All Upper West Side","Manhattan"
"44",5169,10000,1,2,"Tribeca","All Downtown","Manhattan"
"45",5230,3090,2,1,"East Village","All Downtown","Manhattan"
"46",863,3200,1,1,"Boerum Hill","Northwest Brooklyn","Brooklyn"
"47",1710,10904,3,3,"Upper West Side","All Upper West Side","Manhattan"
"48",11111,2100,0,1,"Midtown West","All Midtown","Manhattan"
"49",10393,2499,0,1,"Upper West Side","All Upper West Side","Manhattan"
"50",9177,3650,2,1,"Midtown East","All Midtown","Manhattan"
"51",9536,3800,2,1,"Lower East Side","All Downtown","Manhattan"
"52",133,9800,2,2,"Gramercy Park","All Downtown","Manhattan"
"53",8742,2950,2,1,"Park Slope","Prospect Park","Brooklyn"
"54",4687,4350,1,1,"West Village","All Downtown","Manhattan"
"55",4557,2495,2,1,"Upper East Side","All Upper East Side","Manhattan"
"56",403,3625,1,1,"Upper East Side","All Upper East Side","Manhattan"
"57",9103,1950,2,1,"Sheepshead Bay","South Brooklyn","Brooklyn"
"58",899,9000,2,2,"Midtown West","All Midtown","Manhattan"
"59",4733,5800,2,2,"Central Park South","All Midtown","Manhattan"
"60",3545,3100,1,1,"Long Island City","Northwest Queens","Queens"
"61",2154,3295,1,1,"West Village","All Downtown","Manhattan"
"62",5606,1399,0,1,"Briarwood","Northeast Queens","Queens"
"63",10632,1799,1,1,"Greenwood","South Brooklyn","Brooklyn"
"64",1348,2200,0,1,"Midtown East","All Midtown","Manhattan"
"65",10158,5485,2,1,"Midtown East","All Midtown","Manhattan"
"66",668,2950,0,1,"Upper West Side","All Upper West Side","Manhattan"
"67",4268,2750,1,1,"Midtown East","All Midtown","Manhattan"
"68",10716,8200,2,2,"Chelsea","All Downtown","Manhattan"
"69",6366,2000,2,1,"Central Harlem","All Upper Manhattan","Manhattan"
"70",9899,4995,3,1,"Financial District","All Downtown","Manhattan"
"71",8005,1875,2,1,"Inwood","All Upper Manhattan","Manhattan"
"72",8976,3900,1,1,"Gramercy Park","All Downtown","Manhattan"
"73",3637,2400,0,1,"Upper East Side","All Upper East Side","Manhattan"
"74",9019,5325,1,1,"Flatiron","All Downtown","Manhattan"
"75",3887,5317,2,2,"Carroll Gardens","Northwest Brooklyn","Brooklyn"
"76",5275,3500,0,1,"Midtown South","All Midtown","Manhattan"
"77",5877,3900,1,1,"Midtown East","All Midtown","Manhattan"
"78",1694,3375,2,1,"Upper West Side","All Upper West Side","Manhattan"
"79",7995,6400,2,2,"Upper East Side","All Upper East Side","Manhattan"
"80",4544,2300,2,1,"Red Hook","Northwest Brooklyn","Brooklyn"
"81",1746,2275,0,1,"Long Island City","Northwest Queens","Queens"
"82",11213,12500,2,2,"Tribeca","All Downtown","Manhattan"
"83",1026,2400,0,1,"Fort Greene","Northwest Brooklyn","Brooklyn"
"84",2156,2595,0,1,"Midtown West","All Midtown","Manhattan"
"85",1115,2199,2,1,"East Harlem","All Upper Manhattan","Manhattan"
"86",1886,2430,0,1,"Upper West Side","All Upper West Side","Manhattan"
"87",1001,10000,2,2,"Upper West Side","All Upper West Side","Manhattan"
"88",5402,6400,3,2,"Lower East Side","All Downtown","Manhattan"
"89",3482,5895,2,2,"Financial District","All Downtown","Manhattan"
"90",6128,2600,0,1,"Upper West Side","All Upper West Side","Manhattan"
"91",3736,4700,1,1,"Soho","All Downtown","Manhattan"
"92",2309,6000,2,2,"Upper West Side","All Upper West Side","Manhattan"
"93",1148,4995,2,1,"Upper East Side","All Upper East Side","Manhattan"
"94",2201,3045,1,1,"Brooklyn Heights","Northwest Brooklyn","Brooklyn"
"95",8320,3388,0,1,"Financial District","All Downtown","Manhattan"
"96",5736,3483,1,1,"Midtown East","All Midtown","Manhattan"
"97",1904,2900,2,1,"Washington Heights","All Upper Manhattan","Manhattan"
"98",2376,4600,1,1,"Midtown East","All Midtown","Manhattan"
"99",10520,1695,1,1,"Central Harlem","All Upper Manhattan","Manhattan"
"100",7224,2700,0,1,"Midtown East","All Midtown","Manhattan"
"101",1380,11750,4,3,"Midtown","All Midtown","Manhattan"
"102",5050,3790,1,1,"Downtown Brooklyn","Northwest Brooklyn","Brooklyn"
"103",10315,3400,3,2,"Astoria","Northwest Queens","Queens"
"104",6843,5080,1,1,"Upper West Side","All Upper West Side","Manhattan"
