"","Player_Number","Player_Name","State","Points","New_PreRatings","Opp_Avg_Ratings"
"1",1," GARY HUA                        ","   ON ","6.0  ","1794",1593
"2",2," DAKSHESH DARURI                 ","   MI ","6.0  ","1553",1639
"3",3," ADITYA BAJAJ                    ","   MI ","6.0  ","1384",1665
"4",4," PATRICK H SCHILLING             ","   MI ","5.5  ","1716",1574
"5",5," HANSHI ZUO                      ","   MI ","5.5  "," 1655",1581
"6",6," HANSEN SONG                     ","   OH ","5.0  ","1686",1519
"7",7," GARY DEE SWATHELL               ","   MI ","5.0  ","1649",1526
"8",8," EZEKIEL HOUGHTON                ","   MI ","5.0  ","1641",1458
"9",9," STEFANO LEE                     ","   ON ","5.0  ","1411",1635
"10",10," ANVIT RAO                       ","   MI ","5.0  ","1365",1603
"11",11," CAMERON WILLIAM MC LEMAN        ","   MI ","4.5  ","1712",1473
"12",12," KENNETH J TACK                  ","   MI ","4.5  ","1663",1500
"13",13," TORRANCE HENRY JR               ","   MI ","4.5  ","1666",1498
"14",14," BRADLEY SHAW                    ","   MI ","4.5  ","1610",1496
"15",15," ZACHARY JAMES HOUGHTON          ","   MI ","4.5  ","1220",1460
"16",16," MIKE NIKITIN                    ","   MI ","4.0  ","1604",1368
"17",17," RONALD GRZEGORCZYK              ","   MI ","4.0  ","1629",1442
"18",18," DAVID SUNDEEN                   ","   MI ","4.0  ","1600",1472
"19",19," DIPANKAR ROY                    ","   MI ","4.0  ","1564",1462
"20",20," JASON ZHENG                     ","   MI ","4.0  ","1595",1369
"21",21," DINH DANG BUI                   ","   ON ","4.0  ","1563",1444
"22",22," EUGENE L MCCLURE                ","   MI ","4.0  ","1555",1389
"23",23," ALAN BUI                        ","   ON ","4.0  ","1363",1491
"24",24," MICHAEL R ALDRICH               ","   MI ","4.0  ","1229",1389
"25",25," LOREN SCHWIEBERT                ","   MI ","3.5  ","1745",1319
"26",26," MAX ZHU                         ","   ON ","3.5  ","1579",1475
"27",27," GAURAV GIDWANI                  ","   MI ","3.5  ","1552",1506
"28",28," SOFIA ADINA STANESCU-BELLU      ","   MI ","3.5  ","1507",1522
"29",29," CHIEDOZIE OKORIE                ","   MI ","3.5  ","1602",1359
"30",30," GEORGE AVERY JONES              ","   ON ","3.5  ","1522",1365
"31",31," RISHI SHETTY                    ","   MI ","3.5  ","1494",1484
"32",32," JOSHUA PHILIP MATHEWS           ","   ON ","3.5  ","1441",1500
"33",33," JADE GE                         ","   MI ","3.5  ","1449",1428
"34",34," MICHAEL JEFFERY THOMAS          ","   MI ","3.5  ","1399",1559
"35",35," JOSHUA DAVID LEE                ","   MI ","3.5  ","1438",1298
"36",36," SIDDHARTH JHA                   ","   MI ","3.5  ","1355",1443
"37",37," AMIYATOSH PWNANANDAM            ","   MI ","3.5  ","980",1492
"38",38," BRIAN LIU                       ","   MI ","3.0  ","1423",1539
"39",39," JOEL R HENDON                   ","   MI ","3.0  ","1436",1418
"40",40," FOREST ZHANG                    ","   MI ","3.0  ","1348",1469
"41",41," KYLE WILLIAM MURPHY             ","   MI ","3.0  ","1403",1612
"42",42," JARED GE                        ","   MI ","3.0  ","1332",1348
"43",43," ROBERT GLEN VASEY               ","   MI ","3.0  ","1283",1413
"44",44," JUSTIN D SCHILLING              ","   MI ","3.0  ","1199",1356
"45",45," DEREK YAN                       ","   MI ","3.0  ","1242",1408
"46",46," JACOB ALEXANDER LAVALLEY        ","   MI ","3.0  ","377",1432
"47",47," ERIC WRIGHT                     ","   MI ","2.5  ","1362",1508
"48",48," DANIEL KHAIN                    ","   MI ","2.5  ","1382",1464
"49",49," MICHAEL J MARTIN                ","   MI ","2.5  ","1291",1587
"50",50," SHIVAM JHA                      ","   MI ","2.5  ","1056",1455
"51",51," TEJAS AYYAGARI                  ","   MI ","2.5  ","1011",1373
"52",52," ETHAN GUO                       ","   MI ","2.5  ","935",1448
"53",53," JOSE C YBARRA                   ","   MI ","2.0  ","1393",1383
"54",54," LARRY HODGE                     ","   MI ","2.0  ","1270",1393
"55",55," ALEX KONG                       ","   MI ","2.0  ","1186",1388
"56",56," MARISA RICCI                    ","   MI ","2.0  ","1153",1440
"57",57," MICHAEL LU                      ","   MI ","2.0  ","1092",1358
"58",58," VIRAJ MOHILE                    ","   MI ","2.0  ","917",1352
"59",59," SEAN M MC CORMICK               ","   MI ","2.0  ","853",1280
"60",60," JULIA SHEN                      ","   MI ","1.5  ","967",1344
"61",61," JEZZEL FARKAS                   ","   ON ","1.5  ","955",1348
"62",62," ASHWIN BALAJI                   ","   MI ","1.0  ","1530",1530
"63",63," THOMAS JOSEPH HOSMER            ","   MI ","1.0  ","1175",1236
"64",64," BEN LI                          ","   MI ","1.0  ","1163",1334
